,value
H1_t_stat,5.3558496510885805
H1_p_value,0.000255993647913405
H1_mean_hike,1.3361338346530418
H1_mean_nonhike,-0.20367048956928258
H1_LOO_accuracy,1.0
H1_majority_baseline,0.8490566037735849
H2_gsec_p,0.2628181429102363
H2_inrusd_p,0.2508975002723859
H3_best_p,0.4641692530533894
H4_direct_p,0.04064159926225375
H4_mediated_p,0.016286659119851388
