date,repo_rate,change_bps,decision,hike,cut,change,gsec_yield_pre,gsec_yield_post,gsec_yield_change,inrusd_pre,inrusd_post,inrusd_change,walr_pre,walr_post,walr_change,credit_growth_pre,credit_growth_post,credit_growth_change,cpi_yoy_pre,cpi_yoy_post,cpi_yoy_change,hawk_score,hawk_lag1,hawk_lag2,hawk_lag3,hawk_change,hawk_ma3,dict_score,sentiment,hawk_freq,dove_freq,inflation_freq,growth_freq,covid_dummy
2016-10-04,6.25,-25,cut,0,1,1,6.784525,6.613,-0.17152499999999993,66.38030242919922,66.5780029296875,0.19770050048828125,11.09,11.09,0.0,4.0,3.5,-0.5,,1.858681508130644,,-1.5694932402218107,,,,,-1.5694932402218107,-0.9651162790697675,-0.7184,3,169,3,25,0
2016-12-07,6.25,0,hold,0,0,0,6.52812,6.7918,0.2636799999999999,67.72200012207031,67.43150329589844,-0.290496826171875,11.09,11.09,0.0,4.0,3.5,-0.5,,1.858681508130644,,0.15465918221927732,-1.5694932402218107,,,1.724152422441088,-0.7074170290012667,-0.09385113268608414,0.7184,140,169,20,25,0
2017-02-08,6.25,0,hold,0,0,0,6.9794,7.11756,0.13816000000000006,67.34049987792969,66.96430206298828,-0.37619781494140625,10.36,10.36,0.0,10.0,9.5,-0.5,2.6217056115485526,2.6119239199245525,-0.00978169162400011,0.14536965632716162,0.15465918221927732,-1.5694932402218107,,-0.009289525892115708,-0.4231548005584573,-0.10097719869706841,0.7184,138,169,18,25,0
2017-04-06,6.25,0,hold,0,0,0,7.16485,7.1144,-0.05045000000000055,65.04000091552734,64.58000183105469,-0.45999908447265625,10.36,10.36,0.0,10.0,9.5,-0.5,2.2140356665017125,1.0909160044108024,-1.12311966209091,0.13553126655151623,0.14536965632716162,0.15465918221927732,-1.5694932402218107,-0.009838389775645384,0.14518670169931838,-0.10097719869706841,0.7184,138,169,18,25,0
2017-06-07,6.25,0,hold,0,0,0,6.58302,6.54905,-0.033970000000000056,64.42050170898438,64.41829681396484,-0.00220489501953125,10.36,10.36,0.0,10.0,9.5,-0.5,1.0830389642991545,1.785755965668523,0.7027170013693684,0.15555841697183778,0.13553126655151623,0.14536965632716162,0.15465918221927732,0.02002715042032155,0.14548644661683854,-0.11538461538461539,0.9517,138,174,18,30,0
2017-08-02,6.0,-25,cut,0,1,1,6.6025,6.72384,0.12134,64.05580139160156,63.64059829711914,-0.4152030944824219,10.36,10.36,0.0,10.0,9.5,-0.5,2.518064086602312,2.8881353628831707,0.3700712762808589,-1.5358216379322964,0.15555841697183778,0.13553126655151623,0.14536965632716162,-1.6913800549041342,-0.41491065146964745,-0.9540229885057471,-0.5267,4,170,4,26,0
2017-10-04,6.0,0,hold,0,0,0,6.94395,7.16575,0.2218,65.44309997558594,65.01950073242188,-0.4235992431640625,10.36,10.36,0.0,10.0,9.5,-0.5,3.2374303672247473,3.971174327182325,0.7337439599575779,0.15712240324368834,-1.5358216379322964,0.15555841697183778,0.13553126655151623,1.6929440411759848,-0.4077136059055901,-0.09740259740259741,0.7184,139,169,19,25,0
2017-12-06,6.0,0,hold,0,0,0,7.35076,7.219725,-0.1310349999999998,64.35690307617188,64.51519775390625,0.158294677734375,10.36,10.36,0.0,10.0,9.5,-0.5,4.000057036389215,5.109551727592332,1.1094946912031167,0.15787682047099616,0.15712240324368834,-1.5358216379322964,0.15555841697183778,0.0007544172273078187,-0.40694080473920397,-0.10610932475884244,0.9153,139,172,19,28,0
2018-02-07,6.0,0,hold,0,0,0,7.571275,7.60806,0.03678500000000007,63.97999954223633,64.19999694824219,0.21999740600585938,10.35,10.35,0.0,12.8,13.1,0.29999999999999893,4.744522413620378,4.363664017643254,-0.3808583959771239,0.1493764751774104,0.15787682047099616,0.15712240324368834,-1.5358216379322964,-0.00850034529358576,0.1547918996306983,-0.09740259740259741,0.7184,139,169,19,25,0
2018-04-05,6.0,0,hold,0,0,0,7.547875,7.846075,0.2981999999999996,64.99500274658203,64.86150360107422,-0.1334991455078125,10.35,10.35,0.0,12.8,13.1,0.29999999999999893,3.971174327182325,3.956890682655101,-0.014283644527224304,0.14118446421768557,0.1493764751774104,0.15787682047099616,0.15712240324368834,-0.008192010959724827,0.14947925328869738,-0.0932475884244373,0.8225,141,170,21,26,0
2018-06-06,6.25,25,hike,1,0,1,7.93574,7.800625,-0.13511499999999987,67.08999633789062,66.8301010131836,-0.25989532470703125,10.35,10.35,0.0,12.8,13.1,0.29999999999999893,3.928532416134267,5.614035409561802,1.6855029934275345,1.74297307938423,0.14118446421768557,0.1493764751774104,0.15787682047099616,1.6017886151665444,0.677844672926442,0.9855072463768116,0.9274,137,1,17,1,0
2018-08-01,6.5,25,hike,1,0,1,7.82458,8.019075,0.19449500000000075,68.4968032836914,68.30709838867188,-0.18970489501953125,10.35,10.35,0.0,12.8,13.1,0.29999999999999893,5.614035409561802,5.614035409561802,0.0,1.690466900347938,1.74297307938423,0.14118446421768557,0.1493764751774104,-0.052506179036291956,1.1915414813166179,0.9859154929577465,0.9274,141,1,21,1,0
2018-10-05,6.5,0,hold,0,0,0,7.92485,7.78462,-0.14022999999999985,74.22000122070312,73.76300048828125,-0.457000732421875,10.35,10.35,0.0,12.8,13.1,0.29999999999999893,5.22651257350637,4.8610770724977215,-0.3654355010086485,0.12122700563627709,1.690466900347938,1.74297307938423,0.14118446421768557,-1.5692398947116608,1.184888995122815,-0.1111111111111111,0.9618,140,175,20,31,0
